Fecha y hora,"Departamento","Localidad","Jurisdiccion ","Tipo de Siniestro","Vehiculo","Rol",Edad,"Sexo",Fallecido a los Dias,"Otro vehiculo","Lugar del Siniestro","X","Y"
01/01/2013 23:15:00,"CANELONES","N/C","NACIONAL","COLISIÓN CON OBSTÁCULO EN CALZADA","MOTO","CONDUCTOR",34,"F",0,,"RUTA 101 km 24","589815.34291403","6143862.76322876"
01/01/2013 23:35:00,"SALTO","SALTO","DEPARTAMENTAL","ATROPELLO DE PEATÓN","PEATÓN","PEATÓN",52,"F",0,"MOTO","MAGALLANES próx. Barrio Chinchurreta","411579.76676737","6526872.77455295"
03/01/2013 23:35:00,"PAYSANDU","N/C","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","AUTO","CONDUCTOR",34,"M",8,"CAMION","RUTA 3 km. 358","412321.54385851","6407067.58434832"
04/01/2013 07:10:00,"COLONIA","N/C","NACIONAL","DESPISTE","AUTO","CONDUCTOR",49,"F",1,,"RUTA 21 esq. Dr Irastorza","379424.36717454","6240356.26163798"
04/01/2013 11:00:00,"CANELONES","PROGRESO","DEPARTAMENTAL","DESPISTE","AUTO","CONDUCTOR",91,"M",0,,"CESAR MAYO GUTIERREZ senda CAMINO PELUFFO","570675.10160454","6164479.53464639"
05/01/2013 00:20:00,"RIVERA","N/C","DEPARTAMENTAL","DESPISTE","CAMIONETA","CONDUCTOR",56,"M",0,,"CAMINO VECINAL PASO DEL CERRO","610696.8504182","6545153.43507871"
06/01/2013 14:10:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",63,"M",1,"MOTO","AVENIDA LEZICA esq. GUANAHANY","568790.16317914","6149287.46651693"
06/01/2013 15:30:00,"RIVERA","N/C","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",45,"M",0,"MOTO","RUTA 27 km 113","717522.58490301","6483538.46809877"
06/01/2013 18:21:00,"FLORIDA","N/C","NACIONAL","DESPISTE","AUTO","PASAJERO",34,"F",1,,"RUTA 7 km. 145","636641.74030974","6253050.9922931"
06/01/2013 20:50:00,"MALDONADO","AIGUA","DEPARTAMENTAL","COLISIÓN CON OBSTÁCULO EN CALZADA","MOTO","CONDUCTOR",20,"M",1,,"CONT. AGUSTONI ROSSI","706410.06273448","6213348.0410274"
08/01/2013 19:26:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","ATROPELLO DE PEATÓN","PEATÓN","PEATÓN",25,"M",0,"AUTO","AVENIDA JOSE BELLONI esq. MONTE CARLO","578915.05070232","6144152.48088747"
