Fecha y hora,"Departamento","Localidad","Jurisdiccion ","Tipo de Siniestro","Vehiculo","Rol",Edad,"Sexo",Fallecido a los Dias,"Otro vehiculo","Lugar del Siniestro","X","Y"
01/01/2015 17:00:00,"CANELONES","CIUDAD DE LA COSTA","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",19,"F",0,"AUTO","CRUZ DEL SUR esq. RIO DE JANEIRO","592198.5527","6143355.8134"
02/01/2015 17:40:00,"MALDONADO","N/C","NACIONAL","DESPISTE","CAMIONETA","CONDUCTOR",32,"M",0,,"RUTA 39 km. 42","696759.6","6170525.09"
02/01/2015 19:35:00,"ROCHA","CASTILLOS","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","AUTO","PASAJERO",37,"F",0,"OMNIBUS","RUTA 9 km. 264,700","790491.95","6211259.41"
04/01/2015 06:00:00,"RIO NEGRO","N/C","NACIONAL","COLISIÓN CON OBSTÁCULO EN CALZADA","MOTO","CONDUCTOR",23,"M",0,,"RUTA 3 km. 280","460161","6359752.59"
04/01/2015 14:00:00,"SALTO","SALTO","DEPARTAMENTAL","COLISIÓN CON OBSTÁCULO EN CALZADA","AUTO","PASAJERO",35,"M",0,,"AVENIDA JOSE ENRIQUE RODO esq. CHARRUA","410858.775","6527516.8963"
05/01/2015 12:40:00,"CANELONES","N/C","NACIONAL","ATROPELLO DE PEATÓN","PEATÓN","PEATÓN",87,"M",0,"CAMIONETA","RUTA 8 km. 23,500","589176.92249085","6151919.53767118"
05/01/2015 17:45:00,"CANELONES","CIUDAD DE LA COSTA","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",22,"M",0,"CAMIONETA","MAR MEDITERRANEO esq. CIUDAD DE LA PAZ","598364.1627","6148393.2766"
07/01/2015 17:40:00,"DURAZNO","N/C","NACIONAL","DESPISTE","AUTO","PASAJERO",16,"F",0,,"RUTA 14 km. 253","609535.06635475","6317014.92632069"
10/01/2015 08:45:00,"CANELONES","PANDO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",26,"M",1,"CAMIONETA","WILSON FERREIRA ALDUNATE esq. ITUZAINGO","595309.26020843","6157407.93410902"
07/01/2015 22:50:00,"CANELONES","ESTACION LA FLORESTA","DEPARTAMENTAL","ATROPELLO DE ANIMALES","MOTO","CONDUCTOR",41,"M",0,,"CALLE F esq. CALLE 13","620426.13069702","6155325.58401085"
12/01/2015 14:26:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",22,"M",1,"AUTO","LANUS esq. CAACUPE","570055.14337127","6148405.93473363"
13/01/2015 12:20:00,"FLORES","N/C","NACIONAL","DESPISTE","AUTO","PASAJERO",79,"F",0,,"RUTA 3 km. 180","511620.07372023","6283060.57726857"
14/01/2015 06:00:00,"MALDONADO","N/C","NACIONAL","DESPISTE","AUTO","CONDUCTOR",54,"M",0,,"RUTA 12 km. 364,700","680874.66654483","6152768.53363227"
15/01/2015 17:10:00,"CANELONES","ATLANTIDA","NACIONAL","ATROPELLO DE PEATÓN","PEATÓN","PEATÓN",86,"F",1,"CAMION","RUTA INTERBALNEARIA km. 46,600","614164.3312911","6152258.71373555"
15/01/2015 23:20:00,"CANELONES","LAS PIEDRAS","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","PASAJERO",20,"M",2,"AUTO","DOCTOR POUEY esq. ELLAURI","571062.9511238","6156379.66983562"
16/01/2015 10:05:00,"COLONIA","MIGUELETE","DEPARTAMENTAL","ATROPELLO DE PEATÓN","PEATÓN","PEATÓN",89,"F",1,"AUTO","MAGDALENA FANETTI esq.  JOSÉ E. RODÓ","440051.37432786","6236568.75729452"
16/01/2015 19:45:00,"ROCHA","ROCHA","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","BICICLETA","CONDUCTOR",67,"M",1,"MOTO","ITUZAINGO esq. RINCON","744969.27323257","6181933.43448184"
09/01/2015 13:30:00,"CANELONES","N/C","DEPARTAMENTAL","CAÍDA","MOTO","CONDUCTOR",47,"M",7,,"CAMINO CHARAMELO esq. RUTA 33","582302.76378536","6162019.33823851"
16/01/2015 16:05:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",39,"M",1,"OMNIBUS","COMERCIO esq. FRAY BENTOS","578155.98546789","6140582.32270529"
16/01/2015 16:45:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",23,"M",1,"CAMIONETA","GENERAL AGUSTIN MUÑOZ esq. ADOLFO VAILLANT","569586.73757533","6142324.60398908"
17/01/2015 17:05:00,"CANELONES","SALINAS","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",67,"M",1,"MOTO","RUTA INTERBALNEARIA esq. COLON","605337.96886711","6151143.05226017"
18/01/2015 10:45:00,"CANELONES","CAPITAN J.A. ARTIGAS","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",43,"M",1,"CARRO","ARTIGAS esq. NOVARO","591712.1997723","6154626.38584656"
19/01/2015 14:30:00,"PAYSANDU","LORENZO GEYRES","DEPARTAMENTAL","CAÍDA","MOTO","CONDUCTOR",15,"M",0,,"AVENIDA DEL QUEGUAY esq. TACUAREMBO","416946.48848867","6448747.87351351"
20/01/2015 04:51:00,"MONTEVIDEO","MONTEVIDEO","NACIONAL","DESPISTE","AUTO","CONDUCTOR",30,"M",0,,"RAMBLA EDISON esq. CORONEL FRANCISCO TAJES","573306.95234914","6139068.52021663"
21/01/2015 12:50:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",23,"M",0,"CAMION","NICARAGUA esq. DEMOCRACIA","575237.50409585","6138670.52553947"
21/01/2015 14:40:00,"TACUAREMBO","TACUAREMBO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",25,"M",2,"AUTO","DIECIOCHO DE JULIO esq. DOCTOR CATALINA","596359.12449362","6490640.5703651"
22/01/2015 05:45:00,"CANELONES","LAS PIEDRAS","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",39,"M",16,"TREN","AVENIDA PEDRO BLANES VIALE esq. AVENIDA BOLIVIA","570365.46819447","6157553.72920248"
23/01/2015 02:00:00,"CANELONES","SAN LUIS","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",39,"M",0,"AUTO","RUTA INTERBALNEARIA km. 64","630297.15777352","6151451.04138707"
23/01/2015 10:25:00,"MALDONADO","N/C","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","AUTO","CONDUCTOR",77,"F",0,"CAMIONETA","RUTA INTERBALNEARIA esq. RUTA 37","661262.00154851","6148677.65982938"
24/01/2015 20:05:00,"CERRO LARGO","N/C","NACIONAL","CAÍDA","MOTO","CONDUCTOR",29,"M",0,,"RUTA 7 km. 328","724738.56605097","6382710.59003768"
24/01/2015 22:15:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","ATROPELLO DE PEATÓN","PEATÓN","PEATÓN",76,"F",1,"MOTO","CAMINO TOMKINSON esq. CAMINO CIBILS","566295.42497478","6144638.88336914"
