Fecha y hora,"Departamento","Localidad","Jurisdiccion ","Tipo de Siniestro","Vehiculo","Rol",Edad,"Sexo",Fallecido a los Dias,"Otro vehiculo","Lugar del Siniestro","X","Y"
01/01/2014 07:30:00,"CERRO LARGO","ISIDORO NOBLÍA","DEPARTAMENTAL","DESPISTE","AUTO","CONDUCTOR",26,"M",1,,"CAMINO SAN DIEGO KM 63","771431.5468876","6459626.70152524"
01/01/2014 22:58:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",41,"M",2,"CAMION","CAMINO DOMINGO ARENA esq. AVENIDA DON PEDRO DE MENDOZA","577116.5056759","6146717.41746812"
02/01/2014 17:20:00,"TREINTA Y TRES","N/C","NACIONAL","DESPISTE","AUTO","CONDUCTOR",31,"M",0,,"RUTA 17 km. 303","758521.3639","6325115.7868"
03/01/2014 08:50:00,"CANELONES","CANELONES","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","BICICLETA","CONDUCTOR",9,"M",0,"CAMION","DOCTOR CRISTOBAL CENDAN esq. CAMINO MELGAREJO","565476.1735579","6180421.43365621"
04/01/2014 00:15:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","ATROPELLO DE PEATÓN","PEATÓN","PEATÓN",24,"M",26,"AUTO","BOULEVARD GENERAL ARTIGAS esq. AVENIDA INGENIERO LUIS PONCE","576405.4936533","6137070.0637237"
04/01/2014 09:05:00,"CANELONES","N/C","NACIONAL","CAÍDA","MOTO","CONDUCTOR",65,"M",0,,"RUTA 33 km. 23,200","581103.58885965","6156323.48314199"
05/01/2014 11:00:00,"TACUAREMBO","N/C","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","AUTO","CONDUCTOR",26,"M",0,"AUTO","RUTA 43 km. 44","606804.2937","6403090.437"
05/01/2014 11:00:00,"TACUAREMBO","N/C","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","AUTO","PASAJERO",21,"F",0,"AUTO","RUTA 43 km. 44","606804.2937","6403090.437"
05/01/2014 18:40:00,"SAN JOSE","N/C","NACIONAL","COLISIÓN CON OBSTÁCULO EN CALZADA","MOTO","PASAJERO",44,"M",1,,"RUTA 23 km. 114","490894.80880411","6240276.08306235"
06/01/2014 22:30:00,"MALDONADO","PIRIAPOLIS","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",50,"M",1,"CAMIONETA","RUTA 37 esq. MAÚA","658262.67888319","6142943.06919354"
07/01/2014 11:40:00,"ARTIGAS","ARTIGAS","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",65,"M",2,"MOTO","GENERAL JUAN ANTONIO LAVALLEJA esq. SARANDI","550936.30744662","6636852.88510772"
09/01/2014 06:45:00,"MALDONADO","MALDONADO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",69,"M",2,"AUTO","ALBERTO CL CARACARA esq. MANUEL FRANCA","688767.2059782","6136410.28275401"
09/01/2014 09:00:00,"TREINTA Y TRES","N/C","NACIONAL","DESPISTE","AUTO","CONDUCTOR",58,"M",0,,"RUTA 8 km. 315","747706.70072767","6346473.91648964"
