Fecha y hora,"Departamento","Localidad","Jurisdiccion ","Tipo de Siniestro","Vehiculo","Rol",Edad,"Sexo",Fallecido a los Dias,"Otro vehiculo","Lugar del Siniestro","X","Y"
02/01/2016 21:30:00,"RIVERA","N/C","NACIONAL","ATROPELLO DE PEATÓN","PEATÓN","PEATÓN",83,"M",0,"CAMIONETA","RUTA 5 km. 481","634090.03262123","6565694.63553001"
03/01/2016 15:25:00,"MALDONADO","ESTACION LAS FLORES","NACIONAL","DESPISTE","AUTO","CONDUCTOR",78,"F",1,,"RUTA 9 km. 87","652988.99333582","6149296.52148378"
03/01/2016 20:20:00,"CANELONES","ATLANTIDA","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",65,"M",0,"MOTO","RUTA INTERBALNEARIA km. 46","613580.95573037","6152173.21567362"
04/01/2016 17:25:00,"CANELONES","PARQUE DEL PLATA","NACIONAL","ATROPELLO DE PEATÓN","PEATÓN","PEATÓN",70,"M",1,"CAMIONETA","RUTA INTERBALNEARIA y CALLE 19","617437.47083479","6153631.47082169"
06/01/2016 09:30:00,"MALDONADO","N/C","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","AUTO","CONDUCTOR",65,"M",0,"CAMIONETA","RUTA 9 y RUTA 104","695045.91312522","6148944.14745546"
06/01/2016 09:30:00,"MALDONADO","N/C","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","AUTO","PASAJERO",65,"M",0,"CAMIONETA","RUTA 9 y RUTA 104","695045.91312522","6148944.14745546"
06/01/2016 18:00:00,"MALDONADO","SOLIS","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","AUTO","PASAJERO",66,"F",1,"AUTO","RUTA INTERBALNEARIA km. 82,500","648793.48702814","6149417.17172508"
07/01/2016 11:40:00,"CANELONES","CAPITAN JUAN ANTORIO ARTIGAS","NACIONAL","CAÍDA","MOTO","CONDUCTOR",37,"M",0,,"RUTA 8 km. 26","591194.22314013","6153774.57538544"
09/01/2016 00:55:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","PASAJERO",33,"M",1,"AUTO","MIGUELETE esq. DEFENSA","575455.37235886","6138580.73490872"
09/01/2016 02:25:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",58,"M",0,"OMNIBUS","AVENIDA BURGUES esq. MAXIMO GOMEZ","574698.26169613","6142780.27182792"
09/01/2016 04:20:00,"MALDONADO","EL TESORO","DEPARTAMENTAL","DESPISTE","AUTO","PASAJERO",,"F",0,,"CAMINO EGUZQUIZA CASI EL QUIJOTE","694803.56185246","6137012.42244475"
11/01/2016 20:00:00,"CERRO LARGO","MELO","DEPARTAMENTAL","CAÍDA","MOTO","CONDUCTOR",40,"M",0,,"MANUEL A. LESTIDO esq. TACUARÍ","767263.7696","6415515.6695"
11/01/2016 20:34:00,"CANELONES","N/C","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","BICICLETA","CONDUCTOR",42,"M",1,"CAMIONETA","RUTA 11 km. 136,400","600994.16038085","6177453.41137721"
13/01/2016 05:45:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",50,"M",0,"AUTO","BOULEVARD GENERAL ARTIGAS esq. CARABELAS","574600.47992528","6140970.4913383"
