Fecha y hora,"Departamento","Localidad","Jurisdiccion ","Tipo de Siniestro","Vehiculo","Rol",Edad,"Sexo",Fallecido a los Dias,"Otro vehiculo","Lugar del Siniestro","X","Y"
22/01/2017 04:30:00,"CANELONES","LA PAZ","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",55,"M",0,"OMNIBUS","Aldabalde Esq. Tiscornia","570172.4709","6153892.0917"
22/01/2017 09:05:00,"CERRO LARGO","RIO BRANCO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",39,"M",1,"CAMION","CENTENARIO Esq. JOAQUIN RAMON TRAVIESO","839280.0239","6388377.4386"
22/01/2017 07:15:00,"CANELONES","CIUDAD DE LA COSTA","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",32,"M",4,"BICICLETA","AVENIDA INGENIERO LUIS GIANNATTASIO Esq. FILADELFIA","592197.95180796","6144221.35894817"
22/01/2017 21:11:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","AUTO","CONDUCTOR",31,"M",0,"OMNIBUS","AVENIDA GENERAL FLORES Esq. GRONARDO","577472.1181","6144058.1695"
23/01/2017 08:20:00,"SALTO","SALTO","DEPARTAMENTAL","ATROPELLO DE PEATÓN","PEATÓN","PEATÓN",85,"M",14,"MOTO","AVENIDA PASCUAL HARRIAGUE esq. VEINTICINCO DE AGOSTO","408620.5444","6526072.4279"
23/01/2017 12:26:00,"CERRO LARGO","MELO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",36,"M",1,"MOTO","Bulevar Matta y Ejido","766932.0337219","6415691.80537773"
24/01/2017 02:05:00,"MALDONADO","SAN CARLOS","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",49,"M",0,"AUTO","RUTA 9 KM. 129,500","685926.29195947","6153331.61872782"
24/01/2017 00:30:00,"MONTEVIDEO","MONTEVIDEO","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",57,"M",1,"AUTO","CALDERON DE LA BARCA Esq. LANUS","570619.7553","6148259.7009"
24/01/2017 07:05:00,"PAYSANDU","PAYSANDU","DEPARTAMENTAL","COLISIÓN ENTRE VEHÍCULOS","MOTO","CONDUCTOR",55,"M",0,"CAMION","ENRIQUE CHAPLIN Esq. NDUSTRIAS","400523.1394","6425081.2969"
25/01/2017 09:40:00,"ROCHA","ROCHA","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","AUTO","CONDUCTOR",52,"M",0,"CAMIONETA","RUTA 9 KM. 223,000","760307.32","6185684.45"
25/01/2017 09:40:00,"ROCHA","ROCHA","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","AUTO","PASAJERO",22,"F",0,"CAMIONETA","RUTA 9 KM. 223,000","760307.32","6185684.45"
25/01/2017 09:40:00,"ROCHA","ROCHA","NACIONAL","COLISIÓN ENTRE VEHÍCULOS","AUTO","PASAJERO",25,"F",0,"CAMIONETA","RUTA 9 KM. 223,000","760307.32","6185684.45"
25/01/2017 19:20:00,"CANELONES","CANELONES","NACIONAL","DESPISTE","MOTO","CONDUCTOR",35,"M",0,,"RUTA 64 KM. 2,000","570732.96","6182143.9"
